"Version","Variable Order","Class","Dataset Name","Variable Name","Variable Label","Type","CDISC CT Codelist Code(s)","Described Value Domain(s)","Value List","Role","CDISC Notes","Core"
"SDTMIG v3.2","1","Special-Purpose","DM","STUDYID","Study Identifier","Char","",,"","Identifier","Unique identifier for a study.","Req"
"SDTMIG v3.2","2","Special-Purpose","DM","DOMAIN","Domain Abbreviation","Char","",,"DM","Identifier","Two-character abbreviation for the domain.","Req"
"SDTMIG v3.2","3","Special-Purpose","DM","USUBJID","Unique Subject Identifier","Char","",,"","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product. This must be a unique number, and could be a compound identifier formed by concatenating STUDYID-SITEID-SUBJID.","Req"
"SDTMIG v3.2","4","Special-Purpose","DM","SUBJID","Subject Identifier for the Study","Char","",,"","Topic","Subject identifier, which must be unique within the study. Often the ID of the subject as recorded on a CRF.","Req"
"SDTMIG v3.2","5","Special-Purpose","DM","RFSTDTC","Subject Reference Start Date/Time","Char","","ISO 8601","","Record Qualifier","Reference Start Date/time for the subject in ISO 8601 character format. Usually equivalent to date/time when subject was first exposed to study treatment. Required for all randomized subjects; will be null for all subjects who did not meet the milestone the date requires, such as screen failures or unassigned subjects.","Exp"
"SDTMIG v3.2","6","Special-Purpose","DM","RFENDTC","Subject Reference End Date/Time","Char","","ISO 8601","","Record Qualifier","Reference End Date/time for the subject in ISO 8601 character format. Usually equivalent to the date/time when subject was determined to have ended the trial, and often equivalent to date/time of last exposure to study treatment. Required for all randomized subjects; null for screen failures or unassigned subjects.","Exp"
"SDTMIG v3.2","7","Special-Purpose","DM","RFXSTDTC","Date/Time of First Study Treatment","Char","","ISO 8601","","Record Qualifier","First date of exposure to any protocol-specified treatment or therapy, equal to the earliest value of EXSTDTC.","Exp"
"SDTMIG v3.2","8","Special-Purpose","DM","RFXENDTC","Date/Time of Last Study Treatment","Char","","ISO 8601","","Record Qualifier","Last date of exposure to any protocol-specified treatment or therapy, equal to the latest value of EXENDTC (or the latest value of EXSTDTC if EXENDTC was not collected or is missing).","Exp"
"SDTMIG v3.2","9","Special-Purpose","DM","RFICDTC","Date/Time of Informed Consent","Char","","ISO 8601","","Record Qualifier","Date/time of informed consent in ISO 8601 character format. This will be the same as the date of informed consent in the Disposition domain, if that protocol milestone is documented. Would be null only in studies not collecting the date of informed consent.","Exp"
"SDTMIG v3.2","10","Special-Purpose","DM","RFPENDTC","Date/Time of End of Participation","Char","","ISO 8601","","Record Qualifier","Date/time when subject ended participation or follow-up in a trial, as defined in the protocol, in ISO 8601 character format. Should correspond to the last known date of contact. Examples include completion date, withdrawal date, last follow-up, date recorded for lost to follow up, or death date.","Exp"
"SDTMIG v3.2","11","Special-Purpose","DM","DTHDTC","Date/Time of Death","Char","","ISO 8601","","Record Qualifier","Date/time of death for any subject who died, in ISO 8601 format. Should represent the date/time that is captured in the clinical-trial database.","Exp"
"SDTMIG v3.2","12","Special-Purpose","DM","DTHFL","Subject Death Flag","Char","C66742",,"","Record Qualifier","Indicates the subject died. Should be Y or null. Should be populated even when the death date is unknown.","Exp"
"SDTMIG v3.2","13","Special-Purpose","DM","SITEID","Study Site Identifier","Char","",,"","Record Qualifier","Unique identifier for a site within a study.","Req"
"SDTMIG v3.2","14","Special-Purpose","DM","INVID","Investigator Identifier","Char","",,"","Record Qualifier","An identifier to describe the Investigator for the study. May be used in addition to SITEID. Not needed if SITEID is equivalent to INVID.","Perm"
"SDTMIG v3.2","15","Special-Purpose","DM","INVNAM","Investigator Name","Char","",,"","Synonym Qualifier","Name of the investigator for a site.","Perm"
"SDTMIG v3.2","16","Special-Purpose","DM","BRTHDTC","Date/Time of Birth","Char","","ISO 8601","","Record Qualifier","Date/time of birth of the subject.","Perm"
"SDTMIG v3.2","17","Special-Purpose","DM","AGE","Age","Num","",,"","Record Qualifier","Age expressed in AGEU. May be derived from RFSTDTC and BRTHDTC, but BRTHDTC may not be available in all cases (due to subject privacy concerns).","Exp"
"SDTMIG v3.2","18","Special-Purpose","DM","AGEU","Age Units","Char","C66781",,"","Variable Qualifier","Units associated with AGE.","Exp"
"SDTMIG v3.2","19","Special-Purpose","DM","SEX","Sex","Char","C66731",,"","Record Qualifier","Sex of the subject.","Req"
"SDTMIG v3.2","20","Special-Purpose","DM","RACE","Race","Char","C74457",,"","Record Qualifier","Race of the subject. Sponsors should refer to ""Collection of Race and Ethnicity Data in Clinical Trials"" (FDA, September 2005) for guidance regarding the collection of race (http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm) See Assumption below regarding RACE.","Exp"
"SDTMIG v3.2","21","Special-Purpose","DM","ETHNIC","Ethnicity","Char","C66790",,"","Record Qualifier","The ethnicity of the subject. Sponsors should refer to ""Collection of Race and Ethnicity Data in Clinical Trials"" (FDA, September 2005) for guidance regarding the collection of ethnicity (http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm).","Perm"
"SDTMIG v3.2","22","Special-Purpose","DM","ARMCD","Planned Arm Code","Char","",,"","Record Qualifier","ARMCD is limited to 20 characters and does not have special character restrictions. The maximum length of ARMCD is longer than for other ""short"" variables to accommodate the kind of values that are likely to be needed for crossover trials. For example, if ARMCD values for a seven-period crossover were constructed using two-character abbreviations for each treatment and separating hyphens, the length of ARMCD values would be 20.","Req"
"SDTMIG v3.2","23","Special-Purpose","DM","ARM","Description of Planned Arm","Char","",,"","Synonym Qualifier","Name of the Arm to which the subject was assigned.","Req"
"SDTMIG v3.2","24","Special-Purpose","DM","ACTARMCD","Actual Arm Code","Char","",,"","Record Qualifier","Code of actual Arm. When an Arm is not planned (not in Trial Arms), ACTARMCD will be UNPLAN. Randomized subjects who were not treated will be given a value of NOTTRT. Values should be ""SCRNFAIL"" for screen failures and ""NOTASSGN"" for subjects not assigned to treatment. Restricted to values in Trial Arms in all other cases. ACTARMCD is limited to 20 characters and does not have special character restrictions. The maximum length of ACTARMCD is longer than for other short variables to accommodate the kind of values that are likely to be needed for crossover trials.","Req"
"SDTMIG v3.2","25","Special-Purpose","DM","ACTARM","Description of Actual Arm","Char","",,"","Synonym Qualifier","Description of actual Arm. When an Arm is not planned (not in Trial Arms), ACTARM will be ""Unplanned Treatment"". Randomized subjects who were not treated will be given a value of ""Not Treated"". Values should be ""Screen Failure"" for screen failures and ""Not Assigned"" for subjects not assigned to treatment. Restricted to values in Trial Arms in all other cases.","Req"
"SDTMIG v3.2","26","Special-Purpose","DM","COUNTRY","Country","Char","","ISO 3166-1 Alpha-3","","Record Qualifier","Country of the investigational site in which the subject participated in the trial.","Req"
"SDTMIG v3.2","27","Special-Purpose","DM","DMDTC","Date/Time of Collection","Char","","ISO 8601","","Timing","Date/time of demographic data collection.","Perm"
"SDTMIG v3.2","28","Special-Purpose","DM","DMDY","Study Day of Collection","Num","",,"","Timing","Study day of collection measured as integer days.","Perm"
"SDTMIG v3.2","1","Interventions","EX","STUDYID","Study Identifier","Char","",,"","Identifier","Unique identifier for a study.","Req"
